index	label	sentence	POS	w_index
b1g-fragment02 841	0	If it now seems self-evident that monitoring of the global environment is necessary, indeed is even vital, the prediction of what is likely to happen is almost as important: the 170 000 people in the Maldives are understandably worried about the prospect of global sea-level change since no part of the islands is more than 2 m above present sea-level!	ADP	42
fef-fragment03 667	0	Which equation should we use in a practical case, the equation for the vector potential, Amp����re's law, Biot-Savart's law, or attack directly Maxwell's equations?	NOUN	10
as6-fragment01 76	0	It was initiated partly in response to the furore caused by Enoch Powell's 1969 rivers of blood speech, much as disturbances at the 1976 Notting Hill Carnival prompted further steps on the part of the Department of the Environment A riot makes a much bigger impact on government thinking, as Donnison( 1987) has pointed out, than any amount of earnest and accurate research.	ADP	10
ew1-fragment01 108	1	You fully know as an old pressman the difficulty of dealing with a big speech late at night	VERB	10
fpb-fragment01 1152	0	It was a condition of her gift to you the ten thousand pounds capital to start KITS.	ADJ	5
bpa-fragment14 2162	0	In the stroboscopic view, the giant pistons were the only things moving until a figure detached itself from the wall, its grey colour exactly that of the background steel.	DET	8
ew1-fragment01 8	0	Two strong groups emerged behind Long and Chamberlain, about equal in numbers, but there were few backers for Carson or Law.	VERB	14
ea7-fragment03 809	0	The usual source of supply was town militias Suger mentions those of Rheims, Ch���lons, Laon, Soissons, Orl���ans, Etampes, and Paris in the royal army of 1124.	VERB	9
kcc-fragment02 40	0	So I thought well in case I can't get them anywhere else the market and he said well we'll have one from here, twelve ninety nine.	NUM	20
a1j-fragment34 555	0	There is expected to be a close vote on defence, but Mr Kinnock is confident the new policy will be affirmed today.	NOUN	17
a2d-fragment05 50	1	Gene Autry, the first TV cowboy, now 82, says westerns dominated the early days of TV partly because they had lively, cheaply produced visuals, but mainly because early TV was starved of feature films by the studios.	VERB	10
ab9-fragment03 941	0	I mean, they're not open twelve hours like my shops, and they aren't using the space.	NOUN	9
ab9-fragment03 893	1	The voice at the other end was plainly over-excited and it took him a minute to disentangle what he was being told.	VERB	11
crs-fragment01 53	0	Instead, for a number of reasons, it proved to be a key step in the development of the debate about integration in Islington.	ADV	0
a1m-fragment01 26	0	Telephone cables in the region are being upgraded to ensure they are capable of handling faxes.	NOUN	0
acj-fragment01 124	0	Yet if the example is modified a little, so that the overtaking is on a country road at night and the risk is known to be slight, it becomes questionable whether the causing of death in these circumstances should be labelled in the same way as intentional killings.	DET	42
clp-fragment01 751	1	There is a necessary compromise which can only be arrived at in the context of a particular system.	ADP	10
ccw-fragment03 1578	0	Yet even the gashes were not so ugly as the expensive boat that had caused them.	VERB	13
ahf-fragment63 1211	1	He hardened his opposition to both, despite the fact that his own party chairman had once favoured the first, and vocal forces within his Scottish party were in support of the second.	ADP	22
ea7-fragment03 840	0	As princes saw it, it was a just war in the fullest sense of the term; those who were slaughtered in its battles were regarded as among the martyrs of the church.	VERB	23
ac2-fragment06 1357	0	He hugged her; kissed her cheek.	VERB	1
as6-fragment01 76	0	It was initiated partly in response to the furore caused by Enoch Powell's 1969 rivers of blood speech, much as disturbances at the 1976 Notting Hill Carnival prompted further steps on the part of the Department of the Environment A riot makes a much bigger impact on government thinking, as Donnison( 1987) has pointed out, than any amount of earnest and accurate research.	VERB	2
b1g-fragment02 1578	0	As far as we know the microcomputer-based emergency response system devised by Belardo et al.( 1983), is the only GIS-like software to incorporate this algorithm.	NOUN	24
b1g-fragment02 1193	0	Each of these may be further subdivided and the typology shown in Fig. 10.1 draws upon the classic work of Burton and Kates( 1964) in separating geophysical from biological hazards and Zeigler et al.( 1983) in distinguishing public( or what we might call societal) hazards from private( individual) ones.	DET	16
a1m-fragment01 55	1	Many may eventually be able to work from home rather than commute to an office.	ADP	7
b1g-fragment02 1444	0	Kessell( 1988) describes a PC-based GIS called PREPLAN( PRistine Environment Planning LANguage) which is a natural area management, land-use planning and fire modelling system developed for the Australian National Parks and Wildlife Service, PREPLAN comprises four modules: a simple raster-based GIS; a grid cell resource database; a wide range of vegetation, fuel, fire behaviour, erosion and land-use models; tabular, statistical and colour graphics output system.	NOUN	17
kbp-fragment09 3657	0	Oh that one oh yes, I know.	INTJ	4
a1j-fragment34 544	0	It seemed strange to make that argument, Mr Cook said, when it was clear the whole policy review process was designed to placate the centre ground.	VERB	12
acj-fragment01 53	1	Whatever the justifications for introducing this policy, it serves to underline the fact that sentencing in murder cases is enacted without each case being considered individually, after hearing representations from the offender's counsel, and without a sentence announced in court and subject to appeal.	VERB	4
a6u-fragment02 242	0	Before jumping from the window of her apartment, Hale had dressed meticulously in her most flattering dress, the corsage of yellow roses a gift from a male admirer.	ADP	12
b1g-fragment02 874	0	The main reason is that though some problems are local and are best studied that way many others( even involving a limited geographical extent) are best understood within a global framework.	ADJ	22
ahc-fragment60 1228	0	The hollow barking of a dog came from one of the stone sheds, but there was no sign of life around the buildings.	DET	16
